subject_id,naver_place_id,kind,category,title,value_text,recommendation_chips,recommendation_reason_count,timing_text,action_text,cost_text,place_text,representative_image_url,image_source,image_origin,hero_eligible,rights_status,primary_action_label,primary_action_url,observed_at,map_url,official_url,status_label,caveat_text,missing_fields
place:naver:37373204,37373204,place,식당,멘야하나비 송파본점,마제소바·카라멘과 여러 일본식 면 메뉴를 고르는 송리단길 일본식 면 전문점,업체 추천 메뉴 4종|가격 공개 15개,2,화–일 11:30–21:00 · 휴게시간 있음,워크인 · 포장·배달 가능,"마제소바 12,000원",서울 송파구,https://ldb-phinf.pstatic.net/20241201_240/1733026627553I75Ri_JPEG/0926-5023-20230928.jpg,업체 등록,merchant_provided_map,true,unknown,지도에서 확인,https://map.naver.com/p/entry/place/37373204,2026-08-30T10:36:45.382Z,https://map.naver.com/p/entry/place/37373204,http://menyahanabi.kr/,20:30 주문마감,월요일 정기휴무 외에 월별 임시휴무 공지가 있을 수 있어 방문 당일 현재 상태를 확인해야 합니다.,주차 정보|예약 가능 여부|미디어 재사용 권리
place:naver:31905764,31905764,place,카페,커피몽타주,자체 로스팅한 하우스 블렌드와 싱글오리진 브루잉을 함께 고르는 성내 플래그십,자체 로스팅|평일 오전 8시|추출 방식 선택,3,평일 08:00–19:00 · 주말·공휴일 10:00–19:00,워크인 · 포장 가능,"아메리카노 4,500원",서울 강동구,https://cdn-saas-web-203-48.cdn-nhncommerce.com/montage201372_godomall_com/data/skin/front/moment_allclean/img/about/banner2-2.png,커피몽타주 공식,official_site,true,unknown,지도에서 확인,https://map.naver.com/p/entry/place/31905764,2026-08-30T10:17:42.853Z,https://map.naver.com/p/entry/place/31905764,https://www.coffeemontage.com/main/html.php?htmid=proc/seongnae.html,오늘 영업 종료,"대표사진의 재사용 권리는 확인되지 않았고, 주차·예약 정보도 공개되지 않았습니다.",주차 정보|예약 가능 여부|미디어 재사용 권리
place:naver:303937152,303937152,place,바,시그니엘 서울 바81,롯데월드타워 81층에서 서울 전망과 샴페인·칵테일을 함께 즐기는 호텔 바,롯데월드타워 81층|예약 가능|칵테일 3.2만원부터,3,일–목 17:00–24:00 · 금–토 17:00–01:00,캐치테이블 예약,"칵테일 32,000원부터",서울 송파구,https://ldb-phinf.pstatic.net/20200310_213/1583826393105dQhnN_JPEG/IjTzSbSHWwMPPHYWFZegmwVW.JPG.jpg,업체 등록,merchant_provided_map,true,unknown,예약 확인,https://app.catchtable.co.kr/ct/shop/bar81,2026-08-30T10:17:44.968Z,https://map.naver.com/p/entry/place/303937152,https://www.lottehotel.com/seoul-signiel/ko/dining/bar-81,23:00 주문마감,워크인 가능 여부와 커버·최소주문·예약 보증금은 현재 공개 정보에서 확인되지 않았습니다.,커버·최소주문|예약 보증금|미디어 재사용 권리
place:naver:11785944,11785944,event,전시,소마미술관,이승택 회고전과 체험형 그림책 전시를 한 공원 안에서 고르는 현재 전시 묶음,현재 전시 3개|9월 6일까지|1·2관 선택,3,화–일 10:00–18:00 · 전시 9월 6일까지,전시별 예매,"1관 3,000–5,000원 · 2관 16,000–18,000원",서울 송파구,https://ldb-phinf.pstatic.net/20260625_31/1782349818493CPL5n_JPEG/%28%C6%F7%BD%BA%C5%CD_%C0%A5%BF%EB%291%B0%FC_%C0%CC%BD%C2%C5%C3-420x600_%C0%CF%C1%A4%BA%AF%B0%E6.jpg,업체 등록,merchant_provided_map,true,unknown,1관 예매 확인,https://booking.naver.com/booking/5/bizes/1127674/items/7822182?theme=place&lang=ko&area=ple,2026-08-30T10:17:53.006Z,https://map.naver.com/p/entry/place/11785944,https://soma.kspo.or.kr/,오늘 종료 · 내일 휴관,1관 성인 연령 표기가 출처별로 만 24세와 만 25세부터로 달라 예매 화면에서 최종 확인해야 합니다.,미디어 재사용 권리
place:naver:1906572873,1906572873,event,전시,송파책박물관,"책의 역사 전시와 읽기 공간, 어린이 체험공간을 무료로 이용하는 공공 책박물관",관람 무료|기획전 10월 25일까지|북키움 사전예약,3,화–일 10:00–18:00 · 기획전 10월 25일까지,개인 워크인 · 북키움 예약,관람 무료,서울 송파구,https://www.bookmuseum.go.kr/editImg/20260115064037349.png,송파책박물관 공식,official_site,true,unknown,현재 전시 확인,https://www.bookmuseum.go.kr/exhibit/exhibit_view.do?eh_idx=39,2026-08-30T10:17:55.877Z,https://map.naver.com/p/entry/place/1906572873,https://www.bookmuseum.go.kr/,오늘 종료 · 내일 휴관,북키움 연령 조건은 공식 페이지 안에서도 문구가 충돌합니다. 예약 단계의 최신 조건을 확인해야 합니다.,북키움 연령 문구 충돌|미디어 재사용 권리
place:naver:19452036,19452036,event,공연·전시,강동아트센터,9월 1일부터 지역 풍경을 담은 무료 전시가 열리는 공원형 공연·전시 복합공간,9월 1–5일|무료·전체 관람,2,무료 전시 9월 1–5일 · 10:00–18:00,전시는 워크인 · 공연은 개별 예매,전시 무료 · 공연별 상이,서울 강동구,https://ldb-phinf.pstatic.net/20230712_253/1689138767905qLfqN_JPEG/%B0%AD%B5%BF%BE%C6%C6%AE%BC%BE%C5%CD_%BF%DC%B0%FC1-%BC%F6%C1%A4.jpg,업체 등록,merchant_provided_map,true,unknown,프로그램 확인,https://www.gdfac.or.kr/product/ko/performance/258463,2026-08-30T10:18:01.509Z,https://map.naver.com/p/entry/place/19452036,https://www.gdfac.or.kr/,오늘 휴관 · 9/1 전시 시작,"네이버는 일·월 휴관, 강동구 공식 영문 페이지는 월요일만 휴관으로 표시합니다. 프로그램별 일정이 우선입니다.",장소 정규 운영시간 충돌|미디어 재사용 권리
place:naver:12268494,12268494,place,공원,올림픽공원,"올림픽 유산과 조각·생태·잔디광장, 여러 공연장을 한데 걷는 대형 무료 공원",공원 입장 무료|보행·자전거 05–22시|광장 24시간,3,보행·자전거 05:00–22:00 · 광장 24시간,예약 없이 입장,공원 입장 무료,서울 송파구,https://ldb-phinf.pstatic.net/20150831_229/1441015210203fNWvY_JPEG/12268494_0.jpg,업체 등록,merchant_provided_map,true,unknown,지도에서 입구 확인,https://map.naver.com/p/entry/place/12268494,2026-08-30T10:18:03.762Z,https://map.naver.com/p/entry/place/12268494,https://www.ksponco.or.kr/olympicpark/,22:00까지 보행·자전거,공연장과 유료시설은 공원 운영시간·무료 입장과 별개의 일정과 요금을 가집니다.,미디어 재사용 권리
place:naver:18882132,18882132,event,박물관,한성백제박물관,한성기 백제의 역사 자료를 무료로 보되 1층·로비 개편공사를 알고 방문해야 하는 시립박물관,관람 무료|금요일 21시까지|9월 30일까지 쉼터,3,화–목·주말 09:00–19:00 · 금 21:00까지,예약 없이 관람,관람 무료,서울 송파구,https://baekjemuseum.seoul.go.kr/upfile/popup/1718271080510_0_jpg,한성백제박물관 공식,official_site,true,unknown,공사·전시 확인,https://baekjemuseum.seoul.go.kr/,2026-08-30T10:18:09.076Z,https://map.naver.com/p/entry/place/18882132,https://baekjemuseum.seoul.go.kr/,오늘 종료 · 내일 휴관,2026년 5–11월 1층과 로비 개편공사 중입니다. 상설전시 전체가 정상 운영된다고 가정하면 안 됩니다.,공사 중 정확한 관람 가능 구역|미디어 재사용 권리
place:naver:13222642,13222642,place,전망공간,광진교 8번가,광진교 8번째 교각 아래 유리 전망공간에서 한강을 바라보고 쉬는 무료 문화공간,광진교 아래 전망공간|일반 이용 무료|10월까지 20시,3,4–10월 12:00–20:00 · 월요일 휴관,예약 없이 방문,일반 이용 무료,서울 강동구,https://storage.googleapis.com/cr-resource/image/9feb700a8f95cf74052a8c98d134a91e/riverview8/650/408976473edffacc9269bdadcdd01d8f.jpeg?_1788085081,광진교8번가 공식,official_site,true,unknown,지도에서 입구 확인,https://map.naver.com/p/entry/place/13222642,2026-08-30T10:18:09.841Z,https://map.naver.com/p/entry/place/13222642,https://www.riverview8.co.kr/,20:00 운영 종료,2026년 8월 30일 당일 프로그램은 확인되지 않았습니다. 전망공간 자체는 운영 중입니다.,전용 주차 정보|미디어 재사용 권리
place:naver:20303535,20303535,place,산책,암사초록길,"선사유적지에서 한강까지 보행·자전거길과 6,300㎡ 녹지 덮개로 이어지는 새 연결축","2025년 4월 개방|녹지 덮개 6,300㎡|선사유적지–한강 연결",3,2025.04.04 개방 · 일일 운영시간 미공개,지도에서 경로 확인,이용료 미확인,서울 강동구,https://mediahub.seoul.go.kr/uploads/mediahub/2025/04/vJFKfvfsWIRzdYBQGsevtuMLfZmanlLp.jpg,내 손안에 서울 · 조수봉,licensed_official_editorial,true,KOGL_TYPE_4_NONCOMMERCIAL_NO_DERIVATIVES,지도에서 경로 확인,https://map.naver.com/p/entry/place/20303535,2026-08-30T10:18:15.278Z,https://map.naver.com/p/entry/place/20303535,https://www.gangdong.go.kr/web/mayor/bbs/hotissue/58295,운영시간 미공개,공식 개통자료에 일일 운영시간과 이용료가 명시되지 않았습니다. 사진은 비상업·변경금지 조건의 공공누리 4유형입니다.,일일 운영시간|이용료 명시|전용 주차 정보
